REVENUE,CROSS_SELL_SUCCESS,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CONTACTS_W_CUSTOMER_SERVICE,PRODUCT_CATEGORIES_VIEWED,AVG_TIME_PER_SITE_VISIT,MOBILE_NUMBER,CANCELLATIONS_BEFORE_NOON,CANCELLATIONS_AFTER_NOON,TASTES_AND_PREFERENCES,PC_LOGINS,MOBILE_LOGINS,WEEKLY_PLAN,EARLY_DELIVERIES,LATE_DELIVERIES,PACKAGE_LOCKER,REFRIGERATED_LOCKER,AVG_PREP_VID_TIME,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED,MEDIAN_MEAL_RATING,AVG_CLICKS_PER_VISIT,TOTAL_PHOTOS_VIEWED
2060.00,1,88.00,2.00,9.00,1.00,195.32,1.00,0.00,1.00,1.00,6.00,1.00,14.00,0.00,1.00,0.00,0.00,122.60,2.00,1.00,3.00,13.00,0.00
725.00,1,15.00,8.00,11.00,6.00,75.27,1.00,1.00,0.00,0.00,6.00,2.00,0.00,3.00,9.00,0.00,0.00,72.00,2.00,0.00,2.00,17.00,0.00
996.00,1,13.00,7.00,11.00,7.00,89.50,1.00,1.00,0.00,1.00,6.00,2.00,42.00,0.00,3.00,0.00,0.00,86.40,2.00,0.00,1.00,17.00,0.00
2108.75,1,38.00,1.00,6.00,8.00,41.00,0.00,0.00,0.00,1.00,6.00,2.00,11.00,0.00,2.00,1.00,1.00,77.80,2.00,1.00,2.00,14.00,0.00
938.00,1,13.00,2.00,11.00,7.00,69.91,1.00,3.00,0.00,1.00,6.00,2.00,0.00,0.00,2.00,1.00,1.00,76.80,2.00,0.00,3.00,13.00,0.00
2948.75,1,91.00,1.00,6.00,8.00,42.00,1.00,1.00,0.00,1.00,6.00,2.00,11.00,4.00,2.00,0.00,0.00,151.20,2.00,1.00,3.00,13.00,513.00
1737.00,1,85.00,4.00,6.00,3.00,29.00,1.00,2.00,0.00,1.00,5.00,1.00,8.00,0.00,1.00,0.00,0.00,122.40,2.00,0.00,3.00,15.00,76.00
1080.00,1,13.00,3.00,12.00,8.00,97.00,1.00,5.00,0.00,1.00,6.00,2.00,8.00,0.00,2.00,0.00,0.00,67.20,2.00,0.00,2.00,16.00,0.00
2137.00,1,118.00,3.00,9.00,10.00,45.40,1.00,3.00,0.00,0.00,5.00,1.00,14.00,0.00,0.00,1.00,0.00,129.50,2.00,2.00,3.00,12.00,0.00
2065.00,1,48.00,1.00,5.00,4.00,41.00,1.00,3.00,0.00,0.00,6.00,2.00,10.00,7.00,0.00,0.00,0.00,69.80,2.00,0.00,1.00,17.00,0.00
854.00,1,12.00,6.00,11.00,6.00,12.80,1.00,0.00,0.00,1.00,5.00,1.00,18.00,0.00,2.00,0.00,0.00,98.70,2.00,0.00,2.00,16.00,232.00
785.00,1,16.00,8.00,11.00,4.00,108.00,1.00,0.00,0.00,1.00,5.00,2.00,5.00,0.00,1.00,0.00,0.00,72.50,2.00,0.00,2.00,18.00,0.00
795.00,1,13.00,9.00,11.00,7.00,88.00,1.00,0.00,0.00,1.00,5.00,1.00,1.00,7.00,1.00,0.00,0.00,93.50,2.00,0.00,2.00,14.00,0.00
2574.25,1,44.00,1.00,8.00,2.00,42.00,1.00,1.00,0.00,0.00,6.00,1.00,8.00,4.00,6.00,0.00,0.00,108.00,2.00,0.00,3.00,13.00,0.00
790.00,1,12.00,4.00,12.00,7.00,60.40,0.00,1.00,0.00,1.00,6.00,2.00,0.00,7.00,1.00,0.00,0.00,89.60,2.00,0.00,2.00,17.00,0.00
850.00,1,14.00,9.00,11.00,4.00,67.00,0.00,0.00,0.00,1.00,6.00,2.00,21.00,0.00,2.00,1.00,1.00,102.20,2.00,0.00,2.00,18.00,0.00
3645.25,1,83.00,1.00,6.00,2.00,35.00,1.00,2.00,0.00,1.00,5.00,2.00,0.00,0.00,2.00,0.00,0.00,121.80,2.00,0.00,3.00,11.00,0.00
645.00,1,13.00,7.00,12.00,8.00,55.00,1.00,1.00,0.00,0.00,5.00,2.00,6.00,5.00,9.00,0.00,0.00,66.60,2.00,0.00,1.00,17.00,0.00
1440.00,1,62.00,6.00,4.00,4.00,36.35,1.00,0.00,0.00,1.00,6.00,2.00,0.00,9.00,7.00,1.00,1.00,84.80,2.00,0.00,3.00,14.00,170.00
820.00,1,15.00,9.00,11.00,5.00,111.06,1.00,3.00,0.00,0.00,5.00,1.00,21.00,0.00,1.00,1.00,0.00,94.40,2.00,0.00,3.00,13.00,0.00
825.00,1,15.00,3.00,11.00,4.00,128.42,1.00,2.00,0.00,0.00,5.00,1.00,3.00,0.00,2.00,0.00,0.00,86.10,2.00,0.00,3.00,14.00,0.00
910.00,1,16.00,7.00,11.00,10.00,56.92,1.00,1.00,0.00,0.00,5.00,1.00,8.00,3.00,4.00,1.00,1.00,79.00,2.00,0.00,2.00,17.00,0.00
1385.00,1,41.00,9.00,4.00,9.00,117.72,0.00,0.00,0.00,0.00,6.00,1.00,0.00,4.00,0.00,1.00,1.00,90.80,2.00,0.00,3.00,13.00,0.00
2775.00,1,97.00,3.00,4.00,8.00,126.00,0.00,2.00,0.00,1.00,5.00,1.00,23.00,5.00,1.00,0.00,0.00,125.20,2.00,1.00,3.00,15.00,0.00
1060.00,1,13.00,8.00,12.00,4.00,99.00,1.00,1.00,0.00,1.00,6.00,1.00,41.00,0.00,4.00,0.00,0.00,84.60,2.00,0.00,3.00,13.00,0.00
2835.00,1,63.00,1.00,6.00,3.00,35.00,0.00,1.00,0.00,0.00,5.00,2.00,2.00,2.00,2.00,1.00,0.00,106.10,2.00,0.00,3.00,12.00,0.00
1050.00,1,13.00,4.00,11.00,2.00,68.98,1.00,0.00,0.00,1.00,6.00,1.00,0.00,0.00,4.00,1.00,0.00,98.50,2.00,0.00,3.00,13.00,0.00
1189.00,1,100.00,4.00,5.00,4.00,75.00,1.00,0.00,0.00,1.00,6.00,2.00,1.00,0.00,2.00,0.00,0.00,73.20,2.00,0.00,2.00,15.00,0.00
1400.00,1,65.00,9.00,7.00,6.00,38.43,1.00,0.00,1.00,1.00,6.00,1.00,7.00,1.00,3.00,1.00,1.00,106.90,2.00,0.00,3.00,14.00,0.00
2100.00,1,70.00,1.00,5.00,3.00,44.00,1.00,3.00,0.00,1.00,6.00,2.00,0.00,7.00,0.00,0.00,0.00,83.60,2.00,0.00,2.00,16.00,0.00
1240.00,1,43.00,7.00,8.00,8.00,76.80,1.00,3.00,0.00,1.00,7.00,2.00,0.00,3.00,3.00,1.00,1.00,93.20,2.00,1.00,2.00,15.00,0.00
1445.00,1,39.00,2.00,8.00,8.00,40.38,1.00,3.00,0.00,1.00,6.00,2.00,13.00,0.00,5.00,1.00,0.00,84.80,2.00,1.00,3.00,11.00,169.00
1437.00,1,71.00,3.00,5.00,3.00,154.20,1.00,0.00,0.00,0.00,6.00,2.00,2.00,0.00,3.00,1.00,1.00,84.80,2.00,0.00,3.00,14.00,170.00
1450.00,1,31.00,7.00,3.00,3.00,80.04,0.00,2.00,0.00,1.00,6.00,1.00,0.00,0.00,5.00,0.00,0.00,94.10,2.00,0.00,3.00,13.00,124.00
1190.00,1,39.00,7.00,4.00,2.00,78.00,1.00,2.00,0.00,1.00,6.00,1.00,44.00,1.00,2.00,0.00,0.00,80.40,2.00,2.00,2.00,15.00,294.00
2362.50,1,49.00,1.00,3.00,9.00,36.00,0.00,1.00,0.00,1.00,6.00,1.00,11.00,0.00,9.00,1.00,0.00,89.30,2.00,0.00,3.00,12.00,0.00
1488.00,1,62.00,8.00,5.00,10.00,46.05,1.00,1.00,0.00,1.00,5.00,2.00,22.00,5.00,4.00,1.00,0.00,110.20,2.00,0.00,3.00,13.00,0.00
1230.00,1,51.00,3.00,8.00,3.00,30.80,1.00,2.00,1.00,0.00,6.00,2.00,14.00,3.00,3.00,0.00,0.00,105.50,2.00,1.00,3.00,14.00,0.00
1100.00,1,34.00,5.00,6.00,6.00,78.77,1.00,3.00,0.00,1.00,6.00,1.00,24.00,0.00,2.00,0.00,0.00,77.30,2.00,0.00,2.00,15.00,0.00
1260.00,1,30.00,6.00,5.00,2.00,74.90,1.00,0.00,0.00,1.00,6.00,2.00,9.00,0.00,0.00,0.00,0.00,85.60,2.00,1.00,3.00,13.00,0.00
1485.00,1,44.00,7.00,9.00,7.00,25.29,1.00,3.00,1.00,1.00,5.00,2.00,0.00,2.00,0.00,0.00,0.00,105.50,2.00,0.00,3.00,13.00,0.00
1130.00,1,56.00,2.00,2.00,3.00,94.40,1.00,4.00,0.00,1.00,6.00,2.00,41.00,0.00,5.00,0.00,0.00,67.20,2.00,0.00,2.00,16.00,0.00
349.00,1,15.00,3.00,12.00,3.00,85.79,1.00,1.00,0.00,1.00,6.00,2.00,6.00,3.00,2.00,0.00,0.00,72.00,2.00,0.00,1.00,18.00,0.00
2310.00,1,30.00,1.00,6.00,10.00,36.00,1.00,2.00,1.00,1.00,6.00,1.00,8.00,1.00,2.00,1.00,1.00,92.80,2.00,0.00,2.00,17.00,0.00
1605.00,1,77.00,3.00,8.00,10.00,40.00,1.00,1.00,0.00,0.00,6.00,1.00,0.00,4.00,0.00,1.00,1.00,118.90,2.00,0.00,3.00,12.00,197.00
3352.50,1,76.00,3.00,8.00,1.00,120.80,1.00,1.00,0.00,1.00,6.00,2.00,3.00,0.00,13.00,0.00,0.00,143.30,2.00,2.00,3.00,13.00,177.00
2712.50,1,51.00,1.00,7.00,2.00,42.00,1.00,2.00,1.00,1.00,6.00,2.00,3.00,0.00,2.00,0.00,0.00,120.00,2.00,0.00,3.00,12.00,120.00
2550.00,1,73.00,8.00,10.00,6.00,117.64,1.00,1.00,0.00,0.00,5.00,2.00,4.00,0.00,3.00,0.00,0.00,123.90,2.00,1.00,3.00,12.00,0.00
1380.00,1,33.00,8.00,6.00,10.00,68.00,1.00,0.00,0.00,0.00,6.00,2.00,0.00,0.00,8.00,0.00,0.00,81.60,2.00,0.00,3.00,13.00,0.00
2045.00,1,61.00,2.00,9.00,1.00,93.15,1.00,4.00,0.00,1.00,4.00,2.00,9.00,0.00,7.00,1.00,0.00,121.80,2.00,0.00,3.00,11.00,0.00
870.00,1,15.00,2.00,11.00,2.00,45.00,1.00,2.00,0.00,1.00,5.00,1.00,45.00,0.00,1.00,0.00,0.00,76.50,2.00,0.00,2.00,16.00,0.00
576.00,1,16.00,4.00,12.00,5.00,207.80,1.00,2.00,1.00,0.00,5.00,2.00,9.00,0.00,5.00,0.00,0.00,81.00,2.00,0.00,2.00,18.00,0.00
2450.00,1,32.00,1.00,7.00,5.00,54.00,1.00,1.00,0.00,1.00,6.00,2.00,10.00,9.00,0.00,0.00,0.00,84.80,2.00,0.00,3.00,13.00,170.00
787.50,1,12.00,1.00,11.00,3.00,55.25,1.00,3.00,1.00,1.00,6.00,1.00,3.00,4.00,1.00,1.00,0.00,61.20,2.00,0.00,2.00,16.00,0.00
1190.00,1,53.00,7.00,6.00,3.00,61.00,1.00,2.00,0.00,1.00,4.00,1.00,8.00,0.00,5.00,1.00,0.00,90.40,2.00,0.00,2.00,16.00,0.00
3363.00,1,123.00,4.00,8.00,1.00,197.62,1.00,0.00,2.00,1.00,5.00,1.00,12.00,0.00,5.00,1.00,0.00,148.30,2.00,2.00,3.00,15.00,0.00
1319.00,1,44.00,6.00,6.00,4.00,74.89,0.00,2.00,0.00,1.00,6.00,2.00,21.00,0.00,1.00,0.00,0.00,79.60,2.00,0.00,2.00,15.00,0.00
970.00,1,14.00,7.00,11.00,7.00,130.02,0.00,0.00,0.00,1.00,6.00,1.00,15.00,4.00,13.00,0.00,0.00,88.20,2.00,0.00,2.00,17.00,0.00
1165.00,1,44.00,3.00,7.00,2.00,63.07,0.00,0.00,0.00,1.00,6.00,1.00,31.00,8.00,1.00,0.00,0.00,85.80,2.00,0.00,1.00,16.00,0.00
1875.00,1,51.00,2.00,8.00,1.00,50.14,1.00,1.00,0.00,1.00,5.00,1.00,7.00,7.00,0.00,1.00,0.00,136.00,2.00,1.00,3.00,12.00,0.00
1350.00,1,49.00,8.00,8.00,3.00,50.60,1.00,0.00,0.00,1.00,5.00,1.00,4.00,0.00,1.00,0.00,0.00,166.60,2.00,0.00,2.00,14.00,0.00
1968.75,1,29.00,1.00,5.00,7.00,59.90,1.00,1.00,0.00,1.00,5.00,2.00,0.00,0.00,2.00,0.00,0.00,98.40,2.00,0.00,2.00,15.00,0.00
869.00,1,14.00,2.00,11.00,6.00,49.00,0.00,4.00,0.00,0.00,6.00,1.00,11.00,1.00,6.00,1.00,0.00,67.20,2.00,0.00,2.00,15.00,0.00
999.00,1,15.00,7.00,12.00,5.00,44.60,1.00,0.00,0.00,1.00,6.00,2.00,9.00,0.00,1.00,1.00,1.00,86.40,2.00,0.00,1.00,16.00,0.00
3202.50,1,84.00,4.00,6.00,1.00,235.95,1.00,0.00,2.00,1.00,5.00,2.00,13.00,1.00,1.00,0.00,0.00,152.40,2.00,1.00,3.00,14.00,0.00
131.00,1,13.00,7.00,11.00,9.00,140.84,0.00,1.00,0.00,0.00,6.00,2.00,12.00,2.00,7.00,1.00,1.00,73.30,2.00,0.00,3.00,12.00,0.00
1250.00,1,34.00,2.00,5.00,2.00,64.75,0.00,2.00,0.00,1.00,5.00,1.00,0.00,8.00,1.00,0.00,0.00,75.20,2.00,0.00,2.00,17.00,0.00
750.00,1,14.00,3.00,12.00,4.00,103.00,1.00,2.00,0.00,1.00,6.00,1.00,0.00,2.00,3.00,0.00,0.00,57.20,2.00,0.00,2.00,15.00,0.00
1510.00,1,110.00,3.00,7.00,2.00,37.82,1.00,1.00,0.00,1.00,6.00,1.00,49.00,3.00,0.00,0.00,0.00,120.00,2.00,0.00,3.00,11.00,0.00
1130.00,1,113.00,2.00,7.00,4.00,82.80,1.00,1.00,0.00,1.00,5.00,0.00,8.00,2.00,0.00,1.00,0.00,79.30,2.00,0.00,2.00,18.00,0.00
1850.00,1,39.00,9.00,8.00,2.00,37.07,1.00,1.00,0.00,1.00,5.00,1.00,0.00,0.00,1.00,1.00,0.00,103.40,2.00,1.00,3.00,14.00,0.00
1440.00,1,51.00,4.00,3.00,7.00,124.68,1.00,4.00,1.00,0.00,5.00,1.00,7.00,0.00,0.00,0.00,0.00,91.20,2.00,0.00,2.00,14.00,0.00
559.00,1,15.00,8.00,12.00,2.00,86.12,1.00,2.00,1.00,0.00,5.00,1.00,8.00,2.00,1.00,1.00,1.00,104.40,2.00,0.00,3.00,14.00,0.00
1410.00,1,74.00,8.00,4.00,3.00,188.38,0.00,2.00,0.00,1.00,5.00,1.00,6.00,0.00,3.00,1.00,0.00,86.40,2.00,0.00,3.00,12.00,0.00
1350.00,1,82.00,3.00,4.00,1.00,114.50,0.00,2.00,1.00,0.00,5.00,1.00,47.00,0.00,6.00,1.00,0.00,106.40,2.00,0.00,2.00,16.00,0.00
1372.00,0,35.00,7.00,4.00,3.00,82.32,1.00,4.00,1.00,0.00,5.00,1.00,0.00,4.00,1.00,1.00,1.00,86.40,2.00,0.00,2.00,16.00,0.00
1357.00,0,44.00,7.00,2.00,6.00,84.75,1.00,2.00,0.00,1.00,6.00,1.00,46.00,0.00,0.00,0.00,0.00,95.20,2.00,0.00,2.00,14.00,0.00
2878.75,0,59.00,1.00,5.00,2.00,42.00,1.00,2.00,0.00,1.00,6.00,1.00,10.00,3.00,2.00,0.00,0.00,122.40,2.00,0.00,3.00,13.00,76.00
685.00,0,15.00,3.00,12.00,8.00,57.24,1.00,6.00,0.00,1.00,6.00,1.00,26.00,0.00,0.00,1.00,1.00,52.00,2.00,0.00,2.00,16.00,0.00
1846.25,0,13.00,1.00,11.00,7.00,79.27,1.00,1.00,0.00,1.00,5.00,3.00,1.00,0.00,3.00,0.00,0.00,83.20,2.00,0.00,3.00,13.00,0.00
2947.50,0,63.00,5.00,8.00,6.00,152.63,1.00,3.00,0.00,1.00,5.00,1.00,1.00,0.00,4.00,1.00,1.00,128.80,2.00,2.00,3.00,11.00,0.00
2257.50,0,50.00,1.00,5.00,2.00,43.00,1.00,1.00,2.00,1.00,6.00,2.00,5.00,0.00,3.00,1.00,0.00,93.60,2.00,0.00,2.00,16.00,0.00
1590.00,0,86.00,3.00,6.00,2.00,108.05,0.00,1.00,1.00,1.00,5.00,2.00,14.00,3.00,3.00,1.00,0.00,96.50,2.00,0.00,3.00,14.00,0.00
1435.00,0,14.00,1.00,11.00,1.00,88.00,0.00,2.00,0.00,0.00,5.00,2.00,1.00,0.00,0.00,0.00,0.00,84.10,2.00,0.00,2.00,15.00,0.00
1349.00,0,48.00,6.00,4.00,4.00,55.00,0.00,1.00,0.00,0.00,6.00,2.00,8.00,2.00,0.00,0.00,0.00,117.60,2.00,0.00,3.00,15.00,0.00
850.00,0,15.00,7.00,11.00,2.00,101.59,1.00,0.00,1.00,1.00,5.00,1.00,13.00,7.00,4.00,0.00,0.00,75.60,2.00,0.00,3.00,13.00,0.00
730.00,0,15.00,5.00,11.00,7.00,49.32,1.00,2.00,1.00,1.00,5.00,0.00,24.00,9.00,3.00,1.00,1.00,76.40,2.00,0.00,3.00,14.00,0.00
1079.00,0,12.00,2.00,11.00,7.00,56.00,1.00,1.00,0.00,1.00,5.00,1.00,6.00,4.00,2.00,0.00,0.00,90.10,2.00,0.00,2.00,17.00,0.00
1250.00,0,36.00,6.00,5.00,8.00,79.35,1.00,2.00,2.00,0.00,5.00,1.00,11.00,0.00,0.00,1.00,1.00,82.50,2.00,0.00,3.00,14.00,0.00
1440.00,0,69.00,3.00,7.00,2.00,231.30,1.00,1.00,1.00,0.00,6.00,1.00,0.00,0.00,1.00,1.00,0.00,105.60,2.00,0.00,3.00,12.00,0.00
2248.75,0,50.00,1.00,6.00,10.00,41.00,1.00,3.00,0.00,0.00,5.00,1.00,5.00,0.00,1.00,0.00,0.00,81.60,2.00,0.00,2.00,17.00,0.00
820.00,0,16.00,5.00,11.00,1.00,76.54,1.00,3.00,0.00,1.00,5.00,2.00,10.00,0.00,1.00,0.00,0.00,54.00,2.00,0.00,2.00,17.00,0.00
1280.00,0,87.00,3.00,5.00,2.00,94.00,1.00,0.00,1.00,0.00,6.00,2.00,8.00,0.00,6.00,0.00,0.00,106.70,2.00,0.00,3.00,14.00,0.00
1249.00,0,35.00,9.00,4.00,10.00,74.00,1.00,1.00,0.00,1.00,5.00,2.00,11.00,0.00,7.00,0.00,0.00,78.00,2.00,0.00,2.00,17.00,0.00
1850.00,0,76.00,3.00,6.00,7.00,138.75,1.00,2.00,0.00,0.00,5.00,1.00,9.00,2.00,0.00,0.00,0.00,118.80,2.00,1.00,3.00,11.00,0.00
1487.50,0,16.00,1.00,11.00,3.00,226.16,1.00,0.00,0.00,1.00,6.00,1.00,0.00,5.00,4.00,0.00,0.00,111.20,2.00,0.00,2.00,16.00,0.00
1370.00,0,40.00,4.00,7.00,4.00,91.40,1.00,0.00,0.00,1.00,5.00,1.00,8.00,0.00,5.00,1.00,0.00,86.00,2.00,0.00,3.00,15.00,0.00
970.00,0,16.00,2.00,12.00,2.00,106.00,0.00,0.00,0.00,0.00,7.00,2.00,11.00,8.00,1.00,1.00,0.00,86.40,2.00,0.00,3.00,12.00,0.00
1130.00,0,28.00,2.00,5.00,9.00,217.50,1.00,1.00,0.00,1.00,5.00,1.00,14.00,0.00,1.00,0.00,0.00,98.80,2.00,0.00,3.00,14.00,0.00
1119.00,0,49.00,8.00,5.00,7.00,95.95,0.00,3.00,1.00,0.00,5.00,1.00,38.00,0.00,0.00,1.00,0.00,93.60,2.00,0.00,2.00,17.00,72.00
1410.00,0,40.00,5.00,6.00,8.00,92.60,1.00,2.00,0.00,1.00,5.00,1.00,0.00,4.00,1.00,1.00,1.00,93.60,2.00,0.00,2.00,15.00,0.00
1330.00,0,33.00,9.00,7.00,9.00,41.58,0.00,1.00,0.00,1.00,6.00,1.00,34.00,3.00,0.00,1.00,0.00,76.70,2.00,0.00,2.00,16.00,182.00
610.00,0,15.00,2.00,12.00,4.00,102.20,1.00,1.00,0.00,1.00,5.00,1.00,0.00,0.00,2.00,1.00,0.00,90.40,2.00,0.00,1.00,19.00,0.00
1100.00,0,31.00,2.00,2.00,10.00,76.40,1.00,2.00,0.00,1.00,6.00,2.00,9.00,3.00,9.00,0.00,0.00,85.80,2.00,0.00,2.00,15.00,0.00
1608.25,0,14.00,1.00,12.00,10.00,71.31,1.00,3.00,1.00,1.00,6.00,1.00,0.00,0.00,1.00,0.00,0.00,78.40,2.00,0.00,1.00,16.00,0.00
640.00,0,13.00,7.00,11.00,8.00,42.00,1.00,0.00,2.00,0.00,5.00,1.00,3.00,0.00,4.00,0.00,0.00,67.20,2.00,0.00,2.00,14.00,0.00
2660.00,0,90.00,1.00,6.00,1.00,37.00,1.00,0.00,0.00,1.00,5.00,2.00,7.00,0.00,3.00,0.00,0.00,123.60,2.00,0.00,3.00,14.00,216.00
